Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,950611,Skis; for snow,0,,,,,,158,,14369,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,5,,66,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,40,Austria,,,,,,,,,950611,Skis; for snow,0,,,,,,11,,125,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,0,World,,,,,,,,,950611,Skis; for snow,0,,,,,,17772,,331438,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,616,Poland,,,,,,,,,950611,Skis; for snow,0,,,,,,22,,236,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,620,Portugal,,,,,,,,,950611,Skis; for snow,0,,,,,,22,,507,,,0
HS,2017,201711,November 2017,6,1,2,Exports,826,United Kingdom,,724,Spain,,,,,,,,,950611,Skis; for snow,0,,,,,,88,,2870,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,704,Viet Nam,,,,,,,,,950611,Skis; for snow,0,,,,,,15,,2772,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,586,Pakistan,,,,,,,,,950611,Skis; for snow,0,,,,,,1082,,24384,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,699,India,,,,,,,,,950611,Skis; for snow,0,,,,,,136,,8923,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,842,United States of America,,,,,,,,,950611,Skis; for snow,0,,,,,,12,,2405,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,792,Turkey,,,,,,,,,950611,Skis; for snow,0,,,,,,3005,,29671,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,124,,2955,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,724,Spain,,,,,,,,,950611,Skis; for snow,0,,,,,,30,,1040,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,43,,825,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,276,Germany,,,,,,,,,950611,Skis; for snow,0,,,,,,250,,9158,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,40,Austria,,,,,,,,,950611,Skis; for snow,0,,,,,,1053,,41314,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,288,Ghana,,,,,,,,,950611,Skis; for snow,0,,,,,,1700,,2297,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,344,"China, Hong Kong SAR",,,,,,,,,950611,Skis; for snow,0,,,,,,29,,4656,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,392,Japan,,,,,,,,,950611,Skis; for snow,0,,,,,,43,,5603,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,410,Rep. of Korea,,,,,,,,,950611,Skis; for snow,0,,,,,,35,,1810,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,458,Malaysia,,,,,,,,,950611,Skis; for snow,0,,,,,,3,,2797,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,566,Nigeria,,,,,,,,,950611,Skis; for snow,0,,,,,,6000,,5618,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,56,Belgium,,,,,,,,,950611,Skis; for snow,0,,,,,,4,,6,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,36,Australia,,,,,,,,,950611,Skis; for snow,0,,,,,,3,,1873,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,124,Canada,,,,,,,,,950611,Skis; for snow,0,,,,,,75,,11186,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,757,Switzerland,,,,,,,,,950611,Skis; for snow,0,,,,,,17,,5140,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,834,United Rep. of Tanzania,,,,,,,,,950611,Skis; for snow,0,,,,,,1550,,999,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,686,Senegal,,,,,,,,,950611,Skis; for snow,0,,,,,,5000,,6242,,,0
HS,2017,201702,February 2017,6,1,2,Exports,826,United Kingdom,,702,Singapore,,,,,,,,,950611,Skis; for snow,0,,,,,,1107,,20548,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,251,France,,,,,,,,,950611,Skis; for snow,0,,,,,,7023,,327076,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,0,World,,,,,,,,,950611,Skis; for snow,0,,,,,,12942,,459033,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,208,Denmark,,,,,,,,,950611,Skis; for snow,0,,,,,,5,,195,,,0
HS,2017,201703,March 2017,6,1,1,Imports,826,United Kingdom,,826,United Kingdom,,,,,,,,,950611,Skis; for snow,0,,,,,,27,,1271,,,0
HS,2017,201704,April 2017,6,1,2,Exports,826,United Kingdom,,381,Italy,,,,,,,,,950611,Skis; for snow,0,,,,,,120,,1394,,,0
